time (s),pt1,pt2,pt3,pt4,pt5,pt6,pt7,pt8,pt9
0.000019,21.86029027,119.6255341,114.223305,87.34681485,93.71745552,101.0882128,89.6777982,84.05952499,109.0654662
1.93E-05,19.00006538,118.1080855,108.3785453,83.93903357,95.61841811,140.2104304,90.95435049,85.89953763,102.6091595
0.0000195,17.97855649,115.4947017,106.0406414,83.75967666,115.4834771,175.285522,92.94896344,86.38375149,78.16742716
1.98E-05,19.40866893,113.2185288,107.5435796,88.06424249,103.602461,178.5232228,93.58723958,104.7838779,55.57035382
0.00002,22.47319561,118.7825071,110.7164492,94.52109122,91.53134855,129.1482861,92.55004085,114.6618405,40.0060431
2.03E-05,24.72051517,125.4424206,113.2213462,101.1572969,91.53134855,76.98532933,89.43844465,109.3354881,36.54730739
0.0000205,25.53772228,125.0209071,112.3863805,104.0270074,91.24620416,43.16934355,86.00771038,108.2702177,52.45749168
2.08E-05,25.53772228,123.4191557,106.8756071,100.4398692,98.75500638,39.03228146,84.3322355,91.51641834,79.20504787
0.000021,23.4947045,119.6255341,97.52399144,89.85781158,117.574536,57.55912473,85.44921875,83.47846837,93.27057311
2.13E-05,20.83878138,114.9045828,88.00538268,74.25376047,118.0497766,90.47574919,87.84275429,83.76899668,93.15528192
0.0000215,19.61297071,111.7853829,83.66356115,61.340063,98.1847176,126.360266,87.76296977,82.12266958,86.00722811
2.18E-05,21.65598849,109.1719991,84.8325131,58.82906627,77.93946605,159.0070821,86.16727941,93.06590267,70.78879097
0.000022,27.17213651,106.5586153,88.84034836,63.67170282,71.19104887,174.566033,85.2098652,96.84277073,54.41744192
2.23E-05,33.30118985,104.6196532,92.84818363,72.9982621,66.53369053,147.0455765,85.36943423,101.9754376,47.15409691
0.0000225,36.16141475,98.46555594,93.34916304,85.19453194,72.33162642,99.01968177,85.6885723,107.1081044,54.30215072
2.28E-05,35.95711297,91.72133978,89.50832091,92.72752213,91.81649293,58.63835832,85.13008068,97.81119843,71.71112049
0.000023,33.09688808,87.42190198,84.66551996,90.93395304,107.7845787,31.47764634,85.52900327,97.71435566,84.16256906
2.33E-05,30.64526674,89.78237763,81.32565724,76.7647572,120.8061724,34.26566644,87.20447815,93.74380206,86.35310168
0.0000235,31.25817207,97.03241001,78.48677393,56.13871262,127.4595414,63.5848456,89.43844465,84.3500533,89.00479906
2.38E-05,36.77432008,98.97137215,78.48677393,43.76308588,110.25583,100.9982767,89.11930658,86.38375149,89.69654621
0.000024,42.69907165,99.22428026,81.49265038,42.86630133,83.73740194,135.8035599,84.65137357,98.10172675,84.62373383
2.43E-05,46.78510722,89.78237763,86.83643073,50.57864844,68.24455686,154.5102755,78.90688828,108.0765321,75.16985621
0.0000245,49.64533211,76.54685342,91.01125913,61.51941991,62.25652471,138.0519632,75.476154,113.8870984,67.67592882
2.48E-05,50.46253923,70.39275617,90.51027972,70.48726537,62.63671723,109.0925286,76.51335274,122.6029477,59.14438073
0.000025,50.46253923,73.34335074,87.00342387,74.7918312,74.23258901,80.76264689,81.77913092,133.7398664,57.0691393
2.53E-05,49.64533211,84.55561011,82.16062292,73.17761901,90.48581912,60.5270171,87.84275429,128.413514,67.79122001
0.0000255,50.87114278,92.4800641,78.31978079,66.18269955,109.6855412,53.8717433,91.67241115,107.2049472,85.77664573
2.58E-05,54.13997123,95.43065867,77.65180825,57.03549717,115.9587178,60.88676163,91.91176471,87.25533642,102.8397419
0.000026,59.24751569,97.36962081,80.82467783,52.37221753,108.2598193,83.73053926,89.75758272,83.3816256,99.95746216
2.63E-05,64.15075837,89.95098304,86.50244446,50.21993462,95.61841811,117.9062696,87.60340074,99.65121108,86.69897526
0.0000265,67.21528504,81.68931824,92.51419736,53.44835898,84.49778698,151.9021276,86.48641748,117.1797526,66.52301692
2.68E-05,67.82819038,80.34047501,96.52203262,61.16070609,75.46821469,169.8893541,86.88534007,135.579879,52.68807406
0.000027,66.39807793,84.0497939,95.18608753,72.63954828,84.40273885,145.2468538,90.15650531,144.4894139,54.6480243
2.73E-05,67.21528504,93.15448571,90.17629345,84.83581812,105.9786642,102.5271909,95.34249898,130.2535266,64.10190192
0.0000275,70.48411349,106.8958261,85.16649937,90.93395304,104.9331348,68.26152449,100.3689236,105.0744062,82.31791002
2.78E-05,75.59165795,115.8319126,82.66160233,88.78167013,97.23423631,56.74969954,102.6826746,94.22801592,101.2256653
0.000028,79.88199529,115.6633071,83.16258174,79.45511084,106.8340974,66.6426741,100.2891391,88.51429244,103.1856155
2.83E-05,83.96803086,111.7010802,86.16845819,66.90012719,112.1567926,89.3965156,95.50206801,97.23014181,91.08004049
0.0000285,86.01104864,102.2591775,90.67727286,55.95935572,110.0657338,117.0069082,92.07133374,112.337614,76.78393287
2.88E-05,86.4196522,96.8638046,93.51615617,52.73093135,107.309338,143.2682589,92.07133374,114.6618405,67.9065112
0.000029,86.4196522,95.17775056,93.85014244,60.62263536,96.28375501,159.7265711,95.02336091,116.8892243,69.40529668
2.93E-05,86.62395397,95.26205326,92.51419736,77.84089866,80.6958618,158.9171459,98.21474163,117.9544947,77.12980644
0.0000295,88.87127354,97.28531811,90.17629345,97.39080177,67.00893118,140.0305581,100.2093546,104.1059785,84.73902502
2.98E-05,93.57021444,100.4045181,86.33545132,104.5650781,64.1574873,100.0989154,100.4487081,96.35855687,89.35067264
0.00003,97.65625,100.15161,83.49656801,91.11330995,79.0800436,62.14586749,97.97538807,88.03007859,95.92227049
3.03E-05,99.69926778,98.12834513,84.49852683,67.07948409,103.8876054,48.83531989,93.74680862,82.41319789,98.68925907
0.0000305,100.3121731,98.46555594,88.17237582,48.60572243,124.8932419,65.38356825,89.11930658,94.80907254,91.88707883
3.08E-05,99.494966,102.5963883,91.3452454,48.42636552,140.1959908,97.58070365,86.96512459,112.9186707,87.73659597
0.000031,97.86055178,101.7533613,91.84622481,63.49234591,127.174397,130.2275197,88.95973754,122.1187339,86.81426645
3.13E-05,96.43043933,99.05567485,91.01125913,81.96610757,95.61841811,154.1505309,94.38508476,132.3840676,88.5436343
0.0000315,97.24764644,94.41902624,89.84230718,93.44494977,73.5672521,155.0498922,100.5284926,130.8345833,91.31062287
3.18E-05,100.9250785,91.21552357,87.50440328,93.9830205,54.65267437,132.475923,103.5603043,122.1187339,89.46596383
0.000032,106.0326229,89.78237763,85.33349251,87.34681485,61.97138032,101.5378935,101.7252604,114.9523689,87.96717835
